Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A0A3D8RZT1	A0A3D8RZ82	PF00004	1	#FF0000	01	normal-normal
A0A3D8SZM4	A0A3D8SZP3	PF00004	1	#FF0000	01	normal-normal
A0A0B7KMG7	A0A0B7KEQ8	PF00004	1	#FF0000	03	normal-complement
A0A084GFZ0	A0A084GFY3	PF00004	1	#FF0000	07	normal-normal
A0A139IPK4	A0A139IPG5	PF00004	1	#FF0000	05	normal-normal
A0A1V1T9H2	A0A1V1T9E8	PF00004	1	#FF0000	08	normal-complement
A0A8H5J624	A0A8H5N2J7	PF00004-PF00023-PF12796-PF13637	1	#FF0000	09	normal-complement
A0A8H5J624	A0A8H5N2J7	PF00004-PF00023-PF12796-PF13637	1	#FF0000	09	normal-complement
A0A8H5J624	A0A8H5N2J7	PF00004-PF00023-PF12796-PF13637	1	#FF0000	09	normal-complement
A0A8H5J624	A0A8H5N2J7	PF00004-PF00023-PF12796-PF13637	1	#FF0000	09	normal-complement
A0A8H3V0X9	A0A8H3V3H5	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A8H3V0X9	A0A8H3V3H5	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A8H3V0X9	A0A8H3V3H5	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A5N5CYC5	A0A5N5CYF3	PF00004-PF04212-PF07156-PF09336-PF13450	1	#FF0000	06	normal-normal
A0A5N5CYC5	A0A5N5CYF3	PF00004-PF04212-PF07156-PF09336-PF13450	1	#FF0000	06	normal-normal
A0A5N5CYC5	A0A5N5CYF3	PF00004-PF04212-PF07156-PF09336-PF13450	1	#FF0000	06	normal-normal
A0A5N5CYC5	A0A5N5CYF3	PF00004-PF04212-PF07156-PF09336-PF13450	1	#FF0000	06	normal-normal
A0A5N5CYC5	A0A5N5CYF3	PF00004-PF04212-PF07156-PF09336-PF13450	1	#FF0000	06	normal-normal
A0A084GFZ0	A0A084GFZ3	PF00004-PF08542	1	#FF0000	03	normal-normal
A0A084GFZ0	A0A084GFZ3	PF00004-PF08542	1	#FF0000	03	normal-normal
A0A507ALR6	A0A507AFW4	PF00004-PF08740	1	#FF0000	08	complement-normal
A0A507ALR6	A0A507AFW4	PF00004-PF08740	1	#FF0000	08	complement-normal
A0A4Z1P2Q5	A0A4Z1NZ58	PF00004-PF09336	1	#FF0000	04	normal-normal
A0A8H3Z7A1	A0A8H3VDU9	PF00004-PF09336	1	#FF0000	04	normal-normal
A0A4Z1P2Q5	A0A4Z1NZ58	PF00004-PF09336	1	#FF0000	04	normal-normal
A0A8H3Z7A1	A0A8H3VDU9	PF00004-PF09336	1	#FF0000	04	normal-normal
R7Z411	R7Z3Y5	PF00004-PF09336-PF17862	1	#FF0000	03	complement-complement
R7Z411	R7Z3Y5	PF00004-PF09336-PF17862	1	#FF0000	03	complement-complement
R7Z411	R7Z3Y5	PF00004-PF09336-PF17862	1	#FF0000	03	complement-complement
M2N1S1	M2M936	PF00004-PF16450-PF17862	1	#FF0000	03	complement-normal
A0A167XZK9	A0A167XZQ5	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
A0A4Q4V7Q0	A0A4Q4V7R1	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
M2N1S1	M2M936	PF00004-PF16450-PF17862	1	#FF0000	03	complement-normal
A0A167XZK9	A0A167XZQ5	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
A0A4Q4V7Q0	A0A4Q4V7R1	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
M2N1S1	M2M936	PF00004-PF16450-PF17862	1	#FF0000	03	complement-normal
A0A167XZK9	A0A167XZQ5	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
A0A4Q4V7Q0	A0A4Q4V7R1	PF00004-PF16450-PF17862	1	#FF0000	06	complement-normal
A0A074VRY1	A0A074VRY5	PF00004-PF17862	1	#FF0000	05	normal-complement
A0A074YJN3	A0A074YJA8	PF00004-PF17862	1	#FF0000	07	normal-complement
A0A4S9KG85	A0A4S8W139	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4T0CV53	A0A4T0CVB7	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4S9G3P9	A0A4S9G966	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4T0FAM0	A0A4T0FAI1	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4V4L1R6	A0A4S9Y6U3	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A074VRY1	A0A074VRY5	PF00004-PF17862	1	#FF0000	05	normal-complement
A0A074YJN3	A0A074YJA8	PF00004-PF17862	1	#FF0000	07	normal-complement
A0A4S9KG85	A0A4S8W139	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4T0CV53	A0A4T0CVB7	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4S9G3P9	A0A4S9G966	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4T0FAM0	A0A4T0FAI1	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A4V4L1R6	A0A4S9Y6U3	PF00004-PF17862	1	#FF0000	07	complement-complement
A0A364L9T4	A0A364L9Y6	PF00005	1	#FF0000	07	complement-normal
A0A254U189	A0A3F3R472	PF00005	1	#FF0000	10	normal-normal
A0A4U0VK07	A0A4U0VJZ8	PF00005-PF00664	1	#FF0000	10	complement-complement
A0A4U0VK07	A0A4U0VLP1	PF00005-PF00664	1	#FF0000	02	complement-complement
A0A4U0U6P1	A0A4U0U8A0	PF00005-PF00664	1	#FF0000	02	complement-complement
A0A4U0XX27	A0A4U0XXH7	PF00005-PF00664	1	#FF0000	02	complement-complement
M2N1S1	M2MN92	PF00005-PF00664	1	#FF0000	04	complement-complement
A0A3M7GNG1	A0A3M7GNJ4	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M6WI66	A0A3M6XZC9	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M7FI43	A0A3M7FJB7	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A1Z5TNS8	A0A1Z5TNS2	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7IJJ2	A0A3M7IJ60	PF00005-PF00664	1	#FF0000	04	complement-normal
