Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A0A1F5LK35	A0A1F5LJ15	PF00109-PF00698-PF02458-PF02801-PF08242-PF08659-PF13602-PF14765-PF16197	1	#FF0000	07	complement-complement
A0A0C3GS17	A0A0C3GUN0	PF00501-PF00550-PF02458	1	#FF0000	08	normal-complement
G3YCY6	G3YCY2	PF02458	1	#FF0000	04	complement-normal
A0A505HUS4	A0A254UFA0	PF02458	1	#FF0000	05	complement-normal
A0A318YTU0	A0A318YRU5	PF02458	1	#FF0000	02	complement-normal
A0A319B433	A0A319B6N7	PF02458	1	#FF0000	05	normal-normal
G7XA69	G7XA71	PF02458	1	#FF0000	02	normal-complement
A0A146F8N5	A0A146F910	PF02458	1	#FF0000	03	complement-normal
A0A1M3TVW7	A0A1M3TVR2	PF02458	1	#FF0000	02	complement-normal
A0A370P9M5	A0A370P9N5	PF02458	1	#FF0000	05	complement-normal
A0A319AAG0	A0A319ABX1	PF02458	1	#FF0000	05	normal-complement
A2QWH1	A2QWG4	PF02458	1	#FF0000	07	complement-normal
A0A8H3SW09	A0A8H3SWC1	PF02458	1	#FF0000	02	complement-normal
A0A3F3RTL0	A0A254UFA0	PF02458	1	#FF0000	05	complement-normal
A0A1L9N154	A0A1L9N0X0	PF02458	1	#FF0000	03	complement-normal
A0A1L9V1U7	A0A1L9V1P5	PF02458	1	#FF0000	06	complement-normal
A0A401KMN8	A0A401KMN5	PF02458	1	#FF0000	05	complement-normal
A0A317WBR5	A0A317W759	PF02458	1	#FF0000	02	complement-normal
A0A370BZU1	A0A370BZX3	PF02458	1	#FF0000	06	normal-complement
A0A8G1VJA0	A0A8G1QX14	PF02458	1	#FF0000	03	complement-normal
A0A117E152	A0A117E0B7	PF02458	1	#FF0000	02	complement-normal
A0A3F3QAE4	A0A3F3QA97	PF02458	1	#FF0000	07	complement-normal
A0A1L9TYM8	A0A1L9TYN8	PF02458	1	#FF0000	10	normal-normal
A0A6M7Z3Q6	A0A6M7ZEV5	PF02458	1	#FF0000	01	complement-normal
W9JDV3	W9JG54	PF02458	1	#FF0000	01	normal-complement
Q2GWL0	Q2GWL7	PF02458	1	#FF0000	07	normal-normal
A0A1J7J9P7	A0A1J7IXX0	PF02458	1	#FF0000	05	complement-normal
A0A094B1B9	A0A094B1C4	PF02458	1	#FF0000	05	complement-complement
A0A176ZWY1	A0A176ZZD0	PF02458	1	#FF0000	07	complement-complement
