,UniProt ID,Cluster Number,Cluster Color,Taxonomy ID,Species
0,A0A0D9MLY1,1,#FF0000,1392242,Aspergillus flavus (strain ATCC MYA-384 / AF70)
1,A0A0F0IK60,1,#FF0000,1403190,Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)
2,A0A0L1JJ71,1,#FF0000,1509407,Aspergillus nomiae NRRL 13137.
3,A0A1F7ZXS5,1,#FF0000,109264,Aspergillus bombycis.
4,A0A1S9DE90,1,#FF0000,5062,Aspergillus oryzae
5,A0A2G7FP92,1,#FF0000,656916,Aspergillus arachidicola.
6,A0A2I2GFH5,1,#FF0000,1392250,Aspergillus steynii IBT 23096.
7,A0A3M7K2W9,1,#FF0000,5059,Aspergillus flavus.
8,A0A4S3JX34,1,#FF0000,1220188,Aspergillus tanneri.
9,A0A5M3ZCU9,1,#FF0000,33178,Aspergillus terreus.
10,A0A5N6DRG7,1,#FF0000,5067,Aspergillus parasiticus.
11,A0A5N6FC68,1,#FF0000,986946,Aspergillus novoparasiticus.
12,A0A5N6G2P5,1,#FF0000,209559,Petromyces alliaceus
13,A0A5N6HAV6,1,#FF0000,5059,Aspergillus flavus.
14,A0A5N6I742,1,#FF0000,1506151,Aspergillus pseudonomiae.
15,A0A5N6J6V3,1,#FF0000,656917,Aspergillus minisclerotigenes.
16,A0A5N6T5T4,1,#FF0000,132259,Aspergillus pseudotamarii.
17,A0A5N6U434,1,#FF0000,36643,Aspergillus avenaceus.
18,A0A5N6V8Y9,1,#FF0000,41984,Aspergillus tamarii.
19,A0A5N6VWV2,1,#FF0000,1034304,Aspergillus transmontanensis.
20,A0A5N6WY69,1,#FF0000,1034303,Aspergillus sergii.
21,A0A5N6Y7J4,1,#FF0000,656916,Aspergillus arachidicola.
22,A0A5N6ZFL2,1,#FF0000,138285,Aspergillus coremiiformis.
23,A0A5N7AJE0,1,#FF0000,61420,Aspergillus caelatus.
24,A0A5N7CN68,1,#FF0000,209559,Petromyces alliaceus
25,A0A5N7EA44,1,#FF0000,1825620,Aspergillus pseudocaelatus.
26,A0A7G5KLH4,1,#FF0000,5059,Aspergillus flavus.
27,A0A8H6ADQ2,1,#FF0000,2508778,Aspergillus burnettii.
28,B8NVK0,1,#FF0000,332952,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357/ JCM 12722 / SRRC 167)
29,I8U676,1,#FF0000,1160506,Aspergillus oryzae (strain 3.042)
